Full Name,Wikidata code,Gender,DoB,Age,Old_Age
José Blanco López,Q628418,nan,,,57
Soledad Cabezón Ruiz,Q2841087,nan,,,45
Enrique Calvet Chambon,Q18571764,nan,,,0
Javier Couso Permuy,Q16581087,nan,,,0
Luis de Grandes Pascual,Q607917,nan,,,74
Pilar del Castillo Vera,Q292095,nan,,,0
Agustín Díaz De Mera García Consuegra,Q399192,nan,,,71
Rosa Estaràs Ferragut,Q4894822,nan,,,53
Jonás Fernández,Q17155376,nan,,,39
Santiago Fisas Ayxelà,Q3817070,nan,,,70
Francesc Gambús,Q17155024,nan,,,0
Iratxe García Pérez,Q459373,nan,,,44
Eider Gardiazabal Rubial,Q3755512,nan,,,0
María Teresa Giménez Barbat,Q16186683,nan,,,63
Tania González Peñas,Q18046537,nan,,,36
Esteban González Pons,Q2794709,nan,,,54
Enrique Guerrero Salom,Q3817295,nan,,,0
Sergio Gutiérrez Prieto,Q2273109,nan,,,0
Esther Herranz García,Q3774834,nan,,,49
Carlos Iturgaiz,Q3496866,nan,,,53
Ramón Jáuregui Atondo,Q1684700,nan,,,70
Teresa Jiménez-Becerril Barrio,Q9357304,nan,,,57
Verónica Lope Fontagné,Q9368461,nan,,,0
Javi López,Q1340550,nan,,,0
Juan Fernando López Aguilar,Q941950,nan,,,57
Paloma López Bermejo,Q17155380,nan,,,0
Antonio López-Istúriz White,Q602944,nan,,,48
Florent Marcellesi,Q5863104,nan,,,0
Gabriel Mato,Q548970,nan,,,0
Francisco José Millán Mon,Q3775015,nan,,,64
Ana Miranda,Q4295529,nan,,,0
Javier Nart,Q5928039,nan,,,71
Maite Pagazaurtundúa Ruiz,Q9027010,nan,,,53
Carolina Punset,Q19320457,nan,,,48
Inmaculada Rodríguez-Piñero Fernández,Q4890847,nan,,,61
José Ignacio Salafranca Sánchez-Neyra,Q960188,nan,,,63
Lola Sánchez Caldentey,Q17280090,nan,,,41
Maria Lidia Senra Rodríguez,Q12391819,nan,,,60
Jordi Solé,Q11928368,nan,,,0
Josep-Maria Terricabras,Q2554859,nan,,,72
Estefanía Torres Martínez,Q19694726,nan,,,4
Ramon Tremosa I Balcells,Q2171878,nan,,,0
Miguel Urbán Crespo,Q19422218,nan,,,39
Ernest Urtasun,Q15564103,nan,,,37
Ramón Luis Valcárcel Siso,Q1021708,nan,,,64
Elena Valenciano,Q288917,nan,,,58
Ángela Vallina,Q14026403,nan,,,0
Max Andersson,Q943868,nan,,,0
Malin Björk,Q16162917,nan,,,46
Anna Maria Corazza Bildt,Q441551,nan,,,56
Jakop Dalunde,Q5616258,nan,,,35
Linnéa Engström,Q18218433,nan,,,37
Fredrick Federley,Q513301,nan,,,40
Christofer Fjellner,Q666114,nan,,,42
Aleksander Gabelic,Q5863217,nan,,,0
Jytte Guteland,Q4988619,nan,,,39
Anna Hedh,Q441608,nan,,,52
Gunnar Hökmark,Q1357206,nan,,,66
Olle Ludvigsson,Q3131703,nan,,,70
Peter Lundgren,Q1356290,nan,,,0
Soraya Post,Q16596117,nan,,,62
Jasenko Selimovic,Q6172305,nan,,,51
Anders Sellström,Q6172463,nan,,,0
Marita Ulvskog,Q3115681,nan,,,67
Bodil Valero,Q4942281,nan,,,60
Cecilia Wikström,Q460539,nan,,,53
Kristina Winberg,Q16623762,nan,,,53
William (The Earl Of) Dartmouth,Q336057,nan,,,0
John Stuart Agnew,Q1338217,nan,,,69
Tim Aker,Q16751995,nan,,,33
Lucy Anderson,Q6698176,nan,,,0
Martina Anderson,Q4992676,nan,,,56
Jonathan Arnott,Q6272449,nan,,,38
Richard Ashworth,Q2036303,nan,,,71
Janice Atkinson,Q16975648,nan,,,56
Amjad Bashir,Q16976943,nan,,,66
Gerard Batten,Q1510131,nan,,,64
Catherine Bearder,Q441282,nan,,,70
Louise Bours,Q16769678,nan,,,50
Paul Brannen,Q16947962,nan,,,56
Jonathan Bullock,Q35487495,nan,,,56
David Campbell Bannerman,Q546231,nan,,,58
James Carver,Q16979859,nan,,,49
David Coburn,Q19693383,nan,,,49
Jane Collins,Q16164894,nan,,,57
Richard Corbett,Q652908,nan,,,64
Daniel Dalton,Q5216911,nan,,,44
Seb Dance,Q16979883,nan,,,0
Nirj Deva,Q334019,nan,,,70
Diane Dodds,Q116719,nan,,,60
Bill Etheridge,Q16979907,nan,,,49
Jill Evans,Q272522,nan,,,0
Nigel Farage,Q318471,nan,,,54
Raymond Finch,Q7297473,nan,,,55
John Flack,Q6233365,nan,,,0
Jacqueline Foster,Q463699,nan,,,0
Ashley Fox,Q457673,nan,,,49
Neena Gill,Q6986880,nan,,,62
Nathan Gill,Q16945593,nan,,,45
Julie Girling,Q463480,nan,,,62
Theresa Griffin,Q17013901,nan,,,56
Daniel Hannan,Q974023,nan,,,47
Mary Honeyball,Q469658,nan,,,66
Mike Hookem,Q16979955,nan,,,65
John Howarth,Q38577112,nan,,,60
Ian Hudghton,Q1391098,nan,,,67
Diane James,Q16751268,nan,,,59
Syed Kamall,Q1891910,nan,,,52
Sajjad Karim,Q741344,nan,,,48
Wajid Khan,Q31210746,nan,,,0
Jude Kirton-Darling,Q16563740,nan,,,41
Jean Lambert,Q448543,nan,,,68
David Martin,Q341384,nan,,,0
Rupert Matthews,Q3453279,nan,,,57
Alex Mayer,Q27680041,nan,,,37
Linda McAvan,Q455522,nan,,,56
Emma Mcclarkin,Q126452,nan,,,0
Anthea Mcintyre,Q441543,nan,,,0
Baroness Nosheena Mobarik,Q18211172,nan,,,0
Clare Moody,Q16980094,nan,,,53
Claude Moraes,Q1097007,nan,,,53
James Nicholson,Q360387,nan,,,0
Paul Nuttall,Q546131,nan,,,42
Patrick OFlynn,Q16586580,nan,,,0
Rory Palmer,Q32077841,nan,,,37
Margot Parker,Q16980137,nan,,,75
John Procter,Q16800255,nan,,,52
Julia Reid,Q16976852,nan,,,66
Molly Scott Cato,Q6896677,nan,,,55
Jill Seymour,Q16976828,nan,,,60
Siôn Simon,Q7533492,nan,,,50
Alyn Smith,Q450298,nan,,,45
Kay Swinburne,Q468023,nan,,,51
Charles Tannock,Q706751,nan,,,61
Keith Taylor,Q6385098,nan,,,65
Geoffrey Van Orden,Q1503075,nan,,,73
Derek Vaughan,Q1200134,nan,,,0
Julie Ward,Q24015046,nan,,,61
Steven Woolfe,Q17037921,nan,,,51
