Full Name,Wikidata code,Gender,DoB,Age,Unnamed: 5,Gender.1
Roberts Zīle,Q969701,male,20/06/1958,60.0,,Male
Laima Liucija Andrikienė,Q435717,female,01/01/1958,61.0,,Female
Petras Auštrevičius,Q2080450,male,16/05/1963,55.0,,Male
Zigmantas Balčytis,Q117150,male,16/11/1953,65.0,,Male
Vilija Blinkevičiūtė,Q435394,female,03/03/1960,59.0,,Female
Antanas Guoga,Q1509932,male,17/12/1973,45.0,,Male
Valentinas Mazuronis,Q557932,male,18/11/1953,65.0,,Male
Rolandas Paksas,Q296956,male,10/06/1956,62.0,,Male
Bronis Ropė,Q501991,male,14/04/1955,63.0,,Male
Algirdas Saudargas,Q556409,male,17/04/1948,70.0,,Male
Valdemar Tomaševski,Q1502078,male,03/03/1965,54.0,,Male
Viktor Uspaskich,Q1361333,male,24/07/1959,59.0,,Male
Georges Bach,Q981276,male,12/06/1955,63.0,,Male
Mady Delvaux,Q436989,female,11/10/1950,68.0,,Female
Frank Engel,Q470838,male,10/05/1975,43.0,,Male
Charles Goerens,Q286466,male,06/02/1952,67.0,,Male
Christophe Hansen,Q56460787,male,21/02/1982,37.0,,Male
Tilly Metz,Q13105242,female,26/05/1967,51.0,,Female
David Casa,Q578504,male,16/11/1968,50.0,,Male
Miriam Dalli,Q17315715,female,19/05/1976,42.0,,Female
Roberta Metsola,Q7351526,female,18/01/1979,40.0,,Female
Marlene Mizzi,Q15207915,female,24/12/1954,64.0,,Female
Alfred Sant,Q559545,male,28/02/1948,71.0,,Male
Francis Zammit Dimech,Q16545829,male,23/10/1954,64.0,,Male
Bas Belder,Q810605,male,25/10/1946,72.0,,Male
Marcel de Graaff,Q2003427,male,07/04/1962,56.0,,Male
Dennis de Jong,Q952646,male,22/05/1955,63.0,,Male
Esther de Lange,Q439039,female,19/02/1975,44.0,,Female
Bas Eickhout,Q809726,male,08/10/1976,42.0,,Male
André Elissen,Q2042395,male,12/02/1960,59.0,,Male
Gerben-Jan Gerbrandy,Q455179,male,28/06/1967,51.0,,Male
Anja Hazekamp,Q2187156,female,21/01/1968,51.0,,Female
Jan Huitema,Q17297655,male,05/07/1984,34.0,,Male
Sophie in t Veld,Q446991,female,13/09/1963,55.0,,Female
Agnes Jongerius,Q2745560,female,04/11/1960,58.0,,Female
Jeroen Lenaers,Q17189402,male,29/04/1984,34.0,,Male
Anne-Marie Mineur,Q17276525,female,14/05/1967,51.0,,Female
Caroline Nagtegaal,Q21547522,female,01/06/1980,38.0,,Female
Kati Piri,Q17143453,female,08/04/1979,39.0,,Female
Judith Sargentini,Q456484,female,13/03/1974,45.0,,Female
Marietje Schaake,Q433561,female,28/10/1978,40.0,,Female
Annie Schreijer-Pierik,Q4769431,female,17/02/1953,66.0,,Female
Olaf Stuger,Q329694,male,03/05/1969,49.0,,Male
Paul Tang,Q14053382,male,23/04/1967,51.0,,Male
Johannes Cornelis van Baalen,Q1583347,male,17/06/1960,58.0,,Male
Peter van Dalen,Q543763,male,03/09/1958,60.0,,Male
Wim van de Camp,Q952635,male,27/07/1953,65.0,,Male
Matthijs van Miltenburg,Q17152490,male,02/04/1972,46.0,,Male
Lambert van Nistelrooij,Q965552,male,05/03/1953,66.0,,Male
Auke Zijlstra,Q771169,male,01/11/1964,54.0,,Male
Michał Boni,Q535780,male,10/06/1954,64.0,,Male
Jerzy Buzek,Q55910,male,03/07/1940,78.0,,Male
Ryszard Czarnecki,Q253793,male,25/01/1963,56.0,,Male
Edward Czesak,Q327692,male,22/02/1951,68.0,,Male
Anna Elżbieta Fotyga,Q432190,female,12/01/1957,62.0,,Female
Lidia Joanna Geringer de Oedenberg,Q455375,female,12/09/1957,61.0,,Female
Adam Gierek,Q349492,male,17/04/1938,80.0,,Male
Beata Gosiewska,Q11687634,female,06/03/1971,48.0,,Female
Andrzej Grzyb,Q4759608,male,23/08/1956,62.0,,Male
Krzysztof Hetman,Q11749266,male,27/06/1974,44.0,,Male
Czesław Hoc,Q382842,male,22/02/1954,65.0,,Male
Danuta Maria Hübner,Q242090,female,08/04/1948,70.0,,Female
Robert Jarosław Iwaszkiewicz,Q17166407,male,17/05/1962,56.0,,Male
Danuta Jazłowiecka,Q273578,female,19/05/1957,61.0,,Female
Marek Jurek,Q246212,male,28/06/1960,58.0,,Male
Jarosław Kalinowski,Q3672035,male,12/04/1962,56.0,,Male
Karol Karski,Q932720,male,13/05/1966,52.0,,Male
Sławomir Kłosowski,Q432195,male,21/02/1964,55.0,,Male
Agnieszka Kozłowska-Rajewicz,Q9142309,female,04/12/1969,49.0,,Female
Zdzisław Krasnodębski,Q9389714,male,11/04/1953,65.0,,Male
Urszula Krupa,Q6271241,female,20/10/1949,69.0,,Female
Barbara Kudrycka,Q450710,female,22/01/1956,63.0,,Female
Zbigniew Kuźmiuk,Q6271307,male,19/09/1956,62.0,,Male
Ryszard Antoni Legutko,Q3453988,male,24/12/1949,69.0,,Male
Janusz Lewandowski,Q519793,male,13/06/1951,67.0,,Male
Bogusław Liberadzki,Q4937928,male,12/09/1948,70.0,,Male
Elżbieta Katarzyna Łukacijewska,Q432566,female,25/11/1966,52.0,,Female
Krystyna Łybacka,Q276161,female,10/02/1946,73.0,,Female
Michał Marusik,Q17166422,male,26/09/1951,67.0,,Male
Jan Olbrycht,Q6149636,male,21/09/1952,66.0,,Male
Stanisław Ożóg,Q256095,male,27/05/1953,65.0,,Male
Bolesław G. Piecha,Q4939261,male,19/09/1954,64.0,,Male
Mirosław Piotrowski,Q8273288,male,09/01/1966,53.0,,Male
Julia Pitera,Q435118,female,26/05/1953,65.0,,Female
Marek Plura,Q1773780,male,18/07/1970,48.0,,Male
Tomasz Piotr Poręba,Q9359622,male,31/03/1973,45.0,,Male
Dariusz Rosati,Q1166062,male,08/08/1946,72.0,,Male
Jacek Saryusz-Wolski,Q921839,male,19/09/1948,70.0,,Male
Czesław Adam Siekierski,Q6271409,male,08/10/1952,66.0,,Male
Bogusław Sonik,Q4937934,male,03/12/1953,65.0,,Male
Dobromir Sośnierz,Q48864253,male,18/10/1976,42.0,,Male
Adam Szejnfeld,Q351039,male,13/11/1958,60.0,,Male
Kazimierz Michał Ujazdowski,Q930336,male,28/07/1964,54.0,,Male
Róża Gräfin von Thun Und Hohenstein,Q274125,female,13/04/1954,64.0,,Female
Jarosław Wałęsa,Q1392390,male,13/09/1976,42.0,,Male
Jadwiga Wiśniewska,Q644441,female,02/07/1963,55.0,,Female
Bogdan Andrzej Zdrojewski,Q323398,male,18/05/1957,61.0,,Male
Janusz Zemke,Q376870,male,24/02/1949,70.0,,Male
Kosma Złotowski,Q925180,male,14/01/1964,55.0,,Male
Stanisław Żółtek,Q9343571,male,07/05/1956,62.0,,Male
Tadeusz Zwiefka,Q449484,male,28/12/1954,64.0,,Male
Francisco Assis,Q656518,male,08/01/1965,54.0,,Male
Carlos Coelho,Q714076,male,20/05/1960,58.0,,Male
Manuel dos Santos,Q6752420,male,05/12/1943,75.0,,Male
José Inácio Faria,Q17024746,male,13/03/1962,57.0,,Male
José Manuel Fernandes,Q10309880,male,26/07/1967,51.0,,Male
João Ferreira,Q11728715,male,20/11/1978,40.0,,Male
Ana Gomes,Q2844986,female,09/02/1954,65.0,,Female
António Marinho e Pinto,Q611182,male,10/09/1950,68.0,,Male
Marisa Matias,Q440355,female,20/02/1976,43.0,,Female
Nuno Melo,Q10338219,male,18/03/1966,53.0,,Male
Cláudia Monteiro De Aguiar,Q16537126,female,08/04/1982,36.0,,Female
João Pimenta Lopes,Q22443735,male,12/04/1980,38.0,,Male
Paulo Rangel,Q10346767,male,18/02/1968,51.0,,Male
Sofia Ribeiro,Q10372930,female,17/07/1976,42.0,,Female
Liliana Rodrigues,Q17270451,female,13/04/1973,45.0,,Female
Maria João Rodrigues,Q3290963,female,25/09/1955,63.0,,Female
Fernando Ruas,Q16545093,male,15/01/1949,70.0,,Male
Ricardo Serrão Santos,Q16596372,male,11/10/1954,64.0,,Male
Pedro Silva Pereira,Q2066785,male,15/08/1962,56.0,,Male
Miguel Viegas,Q17270836,male,27/06/1969,49.0,,Male
Carlos Zorrinho,Q15980671,male,28/05/1959,59.0,,Male
Victor Boştinaru,Q3064873,male,17/05/1952,66.0,,Male
Daniel Buda,Q12726380,male,11/01/1970,49.0,,Male
Cristian-Silviu Buşoi,Q348993,male,01/03/1978,41.0,,Male
Andi Cristea,Q17176889,male,05/01/1982,37.0,,Male
Mircea Diaconu,Q1177587,male,24/12/1949,69.0,,Male
Damian Drăghici,Q1158440,male,31/03/1970,48.0,,Male
Doru-Claudian Frunzulică,Q16541015,male,08/07/1959,59.0,,Male
Maria Grapini,Q15718586,female,07/11/1954,64.0,,Female
Cătălin Sorin Ivan,Q11692492,male,23/12/1978,40.0,,Male
Monica Macovei,Q2526083,female,04/02/1959,60.0,,Female
Ramona Nicole Mănescu,Q3064927,female,06/12/1972,46.0,,Female
Marian-Jean Marinescu,Q345794,male,11/08/1952,66.0,,Male
Sorin Moisă,Q17315717,male,07/01/1976,43.0,,Male
Siegfried Mureşan,Q17155237,male,20/09/1981,37.0,,Male
Dan Nica,Q5214099,male,02/07/1960,58.0,,Male
Norica Nicolai,Q7051233,female,27/01/1958,61.0,,Female
Ioan Mircea Paşcu,Q348800,male,17/02/1949,70.0,,Male
Emilian Pavel,Q18571787,male,25/10/1983,35.0,,Male
Răzvan Popa,Q40820775,male,20/01/1978,41.0,,Male
Cristian Dan Preda,Q3002861,male,26/10/1966,52.0,,Male
Laurenţiu Rebega,Q17315718,male,20/02/1976,43.0,,Male
Daciana Octavia Sârbu,Q274779,female,15/01/1977,42.0,,Female
Csaba Sógor,Q551425,male,12/05/1964,54.0,,Male
Theodor Dumitru Stolojan,Q126660,male,24/10/1943,75.0,,Male
Claudiu Ciprian Tănăsescu,Q558350,male,19/07/1965,53.0,,Male
Claudia Țapardel,Q17149761,female,16/12/1983,35.0,,Female
Mihai Ţurcanu,Q19678257,male,02/11/1975,43.0,,Male
Traian Ungureanu,Q9360698,male,01/03/1958,61.0,,Male
Adina-Ioana Vălean,Q274739,female,16/02/1968,51.0,,Female
Renate Weber,Q440689,female,03/08/1955,63.0,,Female
Iuliu Winkler,Q520490,male,14/03/1964,55.0,,Male
Maria Gabriela Zoană,Q47524630,female,15/06/1979,39.0,,Female
Monika Beňová,Q441032,female,15/08/1968,50.0,,Female
Pál Csáky,Q875200,male,21/03/1956,63.0,,Male
Eduard Kukan,Q1289100,male,26/12/1939,79.0,,Male
Vladimír Maňka,Q7938821,male,19/09/1959,59.0,,Male
Miroslav Mikolášik,Q4597444,male,11/09/1952,66.0,,Male
József Nagy,Q823087,male,11/03/1968,51.0,,Male
Branislav Škripek,Q17315719,male,30/08/1970,48.0,,Male
Monika Smolková,Q11785160,female,06/10/1956,62.0,,Female
Ivan Štefanec,Q11714338,male,30/09/1961,57.0,,Male
Richard Sulík,Q586798,male,12/01/1968,51.0,,Male
Anna Záborská,Q455164,female,07/06/1948,70.0,,Female
Boris Zala,Q3487103,male,09/12/1954,64.0,,Male
Jana Žitňanská,Q11719711,female,14/05/1974,44.0,,Female
Franc Bogovič,Q12016827,male,02/02/1963,56.0,,Male
Tanja Fajon,Q462744,female,09/05/1971,47.0,,Female
Alojz Peterle,Q282653,male,05/07/1948,70.0,,Male
Igor Šoltes,Q17120046,male,22/08/1964,54.0,,Male
Patricija Šulin,Q12798364,female,25/11/1965,53.0,,Female
Romana Tomc,Q16089810,female,02/11/1965,53.0,,Female
Ivo Vajgl,Q685146,male,03/03/1943,76.0,,Male
Milan Zver,Q1628512,male,25/05/1962,56.0,,Male
Clara Eugenia Aguilera García,Q5771098,female,03/01/1964,55.0,,Female
Marina Albiol Guzmán,Q11691062,female,15/12/1982,36.0,,Female
Inés Ayala Sender,Q270509,female,28/03/1957,61.0,,Female
Pilar Ayuso,Q440669,female,16/06/1942,76.0,,Female
Beatriz Becerra Basterrechea,Q17174668,female,14/11/1966,52.0,,Female
Xabier Benito Ziluaga,Q21600336,male,23/05/1988,30.0,,Male
Izaskun Bilbao Barandica,Q290539,female,27/03/1961,57.0,,Female
José Blanco López,Q628418,male,06/02/1962,57.0,,Male
Soledad Cabezón Ruiz,Q2841087,female,01/09/1973,45.0,,Female
Enrique Calvet Chambon,Q18571764,male,28/10/1950,68.0,,Male
Javier Couso Permuy,Q16581087,male,08/11/1968,50.0,,Male
Luis de Grandes Pascual,Q607917,male,27/01/1945,74.0,,Male
Pilar del Castillo Vera,Q292095,female,31/07/1952,66.0,,Female
Agustín Díaz De Mera García Consuegra,Q399192,male,27/09/1947,71.0,,Male
Rosa Estaràs Ferragut,Q4894822,female,21/10/1965,53.0,,Female
Jonás Fernández,Q17155376,male,08/01/1979,40.0,,Male
Santiago Fisas Ayxelà,Q3817070,male,29/08/1948,70.0,,Male
Francesc Gambús,Q17155024,male,21/05/1974,44.0,,Male
Iratxe García Pérez,Q459373,female,07/10/1974,44.0,,Female
Eider Gardiazabal Rubial,Q3755512,female,12/07/1975,43.0,,Female
María Teresa Giménez Barbat,Q16186683,female,04/06/1955,63.0,,Female
Tania González Peñas,Q18046537,female,18/10/1982,36.0,,Female
Esteban González Pons,Q2794709,male,21/08/1964,54.0,,Male
Enrique Guerrero Salom,Q3817295,male,28/08/1948,70.0,,Male
Sergio Gutiérrez Prieto,Q2273109,male,11/07/1982,36.0,,Male
Esther Herranz García,Q3774834,female,03/07/1969,49.0,,Female
Carlos Iturgaiz,Q3496866,male,20/10/1965,53.0,,Male
Ramón Jáuregui Atondo,Q1684700,male,01/09/1948,70.0,,Male
Teresa Jiménez-Becerril Barrio,Q9357304,female,24/07/1961,57.0,,Female
Verónica Lope Fontagné,Q9368461,female,01/02/1952,67.0,,Female
Javi López,Q16977671,male,11/11/1985,33.0,,Male
Juan Fernando López Aguilar,Q941950,male,10/06/1961,57.0,,Male
Paloma López Bermejo,Q17155380,female,20/02/1962,57.0,,Female
Antonio López-Istúriz White,Q602944,male,01/04/1970,48.0,,Male
Florent Marcellesi,Q5863104,male,10/04/1979,40.0,,Male
Gabriel Mato,Q548970,male,29/04/1961,57.0,,Male
Francisco José Millán Mon,Q3775015,male,08/03/1955,64.0,,Male
Ana Miranda,Q482983,female,02/05/1971,47.0,,Female
Javier Nart,Q5928039,male,19/08/1947,71.0,,Male
Maite Pagazaurtundúa Ruiz,Q9027010,female,11/02/1965,54.0,,Female
Carolina Punset,Q19320457,female,05/01/1971,48.0,,Female
Inmaculada Rodríguez-Piñero Fernández,Q4890847,female,07/01/1958,61.0,,Female
José Ignacio Salafranca Sánchez-Neyra,Q960188,male,31/05/1955,63.0,,Male
Lola Sánchez Caldentey,Q17280090,female,17/03/1978,41.0,,Female
Maria Lidia Senra Rodríguez,Q12391819,female,14/06/1958,60.0,,Female
Jordi Solé,Q14038593,male,26/10/1976,42.0,,Male
Josep-Maria Terricabras,Q2554859,male,12/07/1946,72.0,,Male
Estefanía Torres Martínez,Q19694726,female,27/04/1982,36.0,,Female
Ramon Tremosa I Balcells,Q2171878,male,30/06/1965,53.0,,Male
Miguel Urbán Crespo,Q19422218,male,26/03/1980,39.0,,Male
Ernest Urtasun,Q15564103,male,27/01/1982,37.0,,Male
Ramón Luis Valcárcel Siso,Q1021708,male,16/11/1954,64.0,,Male
Elena Valenciano,Q288917,female,18/09/1960,58.0,,Female
Ángela Vallina,Q14026403,female,06/07/1959,59.0,,Female
Max Andersson,Q5555515,male,26/10/1973,45.0,,Male
Malin Björk,Q16162917,female,22/05/1972,46.0,,Female
Anna Maria Corazza Bildt,Q441551,female,10/03/1963,56.0,,Female
Jakop Dalunde,Q5616258,male,02/02/1984,35.0,,Male
Linnéa Engström,Q18218433,female,02/04/1981,37.0,,Female
Fredrick Federley,Q513301,male,06/05/1978,40.0,,Male
Christofer Fjellner,Q666114,male,13/12/1976,42.0,,Male
Aleksander Gabelic,Q5863217,male,17/09/1965,53.0,,Male
Jytte Guteland,Q4988619,female,16/09/1979,39.0,,Female
Anna Hedh,Q441608,female,18/03/1967,52.0,,Female
Gunnar Hökmark,Q1357206,male,19/09/1952,66.0,,Male
Olle Ludvigsson,Q3131703,male,28/10/1948,70.0,,Male
Peter Lundgren,Q16633235,male,02/02/1963,56.0,,Male
Soraya Post,Q16596117,female,15/10/1956,62.0,,Female
Jasenko Selimovic,Q6172305,male,01/01/1968,51.0,,Male
Anders Sellström,Q6172463,male,19/03/1964,55.0,,Male
Marita Ulvskog,Q3115681,female,04/09/1951,67.0,,Female
Bodil Valero,Q4942281,female,14/05/1958,60.0,,Female
Cecilia Wikström,Q460539,female,17/10/1965,53.0,,Female
Kristina Winberg,Q16623762,female,27/05/1965,53.0,,Female
William (The Earl Of) Dartmouth,Q336057,male,23/09/1949,69.0,,Male
John Stuart Agnew,Q1338217,male,30/08/1949,69.0,,Male
Tim Aker,Q16751995,male,23/05/1985,33.0,,Male
Lucy Anderson,Q16974976,female,02/06/1965,53.0,,Female
Martina Anderson,Q4992676,female,16/04/1962,56.0,,Female
Jonathan Arnott,Q6272449,male,12/01/1981,38.0,,Male
Richard Ashworth,Q2036303,male,17/09/1947,71.0,,Male
Janice Atkinson,Q16975648,female,31/08/1962,56.0,,Female
Amjad Bashir,Q16976943,male,17/09/1952,66.0,,Male
Gerard Batten,Q1510131,male,27/03/1954,64.0,,Male
Catherine Bearder,Q441282,female,14/01/1949,70.0,,Female
Louise Bours,Q16769678,female,23/12/1968,50.0,,Female
Paul Brannen,Q16947962,male,13/09/1962,56.0,,Male
Jonathan Bullock,Q35487495,male,03/03/1963,56.0,,Male
David Campbell Bannerman,Q546231,male,28/05/1960,58.0,,Male
James Carver,Q16979859,male,15/08/1969,49.0,,Male
David Coburn,Q16979872,male,11/02/1959,60.0,,Male
Jane Collins,Q16164894,female,17/02/1962,57.0,,Female
Richard Corbett,Q652908,male,06/01/1955,64.0,,Male
Daniel Dalton,Q5216914,male,31/01/1974,45.0,,Male
Seb Dance,Q16979883,male,01/12/1981,37.0,,Male
Nirj Deva,Q334019,male,11/05/1948,70.0,,Male
Diane Dodds,Q116719,female,16/08/1958,60.0,,Female
Bill Etheridge,Q16979907,male,18/03/1970,49.0,,Male
Jill Evans,Q272522,female,08/05/1959,59.0,,Female
Nigel Farage,Q318471,male,03/04/1964,54.0,,Male
Raymond Finch,Q7297473,male,02/06/1963,55.0,,Male
John Flack,Q39073706,male,03/01/1957,62.0,,Male
Jacqueline Foster,Q463699,female,30/12/1947,71.0,,Female
Ashley Fox,Q457673,male,15/11/1969,49.0,,Female
Neena Gill,Q6986880,female,24/12/1956,62.0,,Female
Nathan Gill,Q16945593,male,06/07/1973,45.0,,Male
Julie Girling,Q463480,female,21/12/1956,62.0,,Female
Theresa Griffin,Q17013901,female,11/12/1962,56.0,,Female
Daniel Hannan,Q974023,male,01/09/1971,47.0,,Male
Mary Honeyball,Q469658,female,12/11/1952,66.0,,Female
Mike Hookem,Q16979955,male,09/10/1953,65.0,,Male
John Howarth,Q31271619,male,31/10/1958,60.0,,Male
Ian Hudghton,Q1391098,male,19/09/1951,67.0,,Male
Diane James,Q16751268,female,20/11/1959,59.0,,Female
Syed Kamall,Q1891910,male,15/02/1967,52.0,,Male
Sajjad Karim,Q741344,male,11/07/1970,48.0,,Male
Wajid Khan,Q31210746,male,15/10/1979,39.0,,Male
Jude Kirton-Darling,Q16563740,female,02/06/1977,41.0,,Male
Jean Lambert,Q448543,female,01/06/1950,68.0,,Female
David Martin,Q132462,male,26/08/1954,64.0,,Male
Rupert Matthews,Q3453279,male,05/12/1961,57.0,,Male
Alex Mayer,Q27680041,female,02/06/1981,37.0,,Male
Linda McAvan,Q455522,female,02/12/1962,56.0,,Female
Emma Mcclarkin,Q126452,female,09/10/1978,40.0,,Female
Anthea Mcintyre,Q441543,female,29/06/1954,64.0,,Female
Baroness Nosheena Mobarik,Q18211172,female,16/10/1957,61.0,,Female
Clare Moody,Q16980094,female,30/10/1965,53.0,,Female
Claude Moraes,Q1097007,male,22/10/1965,53.0,,Male
James Nicholson,Q333729,male,29/01/1945,74.0,,Male
Paul Nuttall,Q546131,male,30/11/1976,42.0,,Male
Patrick OFlynn,Q16586580,male,29/08/1965,53.0,,Male
Rory Palmer,Q32077841,male,19/11/1981,37.0,,Male
Margot Parker,Q16980137,female,24/07/1943,75.0,,Female
John Procter,Q27929382,male,07/11/1966,52.0,,Male
Julia Reid,Q16976852,female,16/07/1952,66.0,,Female
Molly Scott Cato,Q6896677,female,21/05/1963,55.0,,Female
Jill Seymour,Q16976828,female,08/05/1958,60.0,,Female
Siôn Simon,Q7533492,male,23/12/1968,50.0,,Male
Alyn Smith,Q450298,male,15/09/1973,45.0,,Male
Kay Swinburne,Q468023,female,08/06/1967,51.0,,Female
Charles Tannock,Q706751,male,25/09/1957,61.0,,Male
Keith Taylor,Q1738098,male,01/08/1953,65.0,,Male
Geoffrey Van Orden,Q1503075,male,10/04/1945,73.0,,Male
Derek Vaughan,Q1200134,male,02/05/1961,57.0,,Male
Julie Ward,Q17015617,female,07/03/1957,62.0,,Female
Steven Woolfe,Q17037921,male,06/10/1967,51.0,,Male
,,nan,,,,
