First Name,Last Name,Gender,Date of Birth,Age,Country,Jurisdiction,Political_Group,_26_March_2019_Final_Vote,26 March 2019 Procedural Vote,Pledge 2019,Sept 18 Vote DELETE,Sept 18 Vote IMCO,Sept 18 Vote VOSS,Sept 18 Vote REPORT,June 18 Vote Negotiations,National_Political_Group,National Political Group (Short),Email,Twitter,Wikidata code,EP Webpage,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
Brando,Benifei,male,01/01/1986,33,Italy,Nord-Occidentale,S&D,AGAINST,FOR,YES,AGAINST,ABSTAINED,AGAINST,ABSTAINED,AGAINST,Partito Democratico,PD,brando.benifei@europarl.europa.eu,brandobenifei,Q17123340,http://www.europarl.europa.eu/meps/en/124867/_home.html,,,,,,,
Renata,Briano,male,23/02/1964,55,Italy,Nord-Occidentale,S&D,AGAINST,FOR,YES,AGAINST,ABSTAINED,AGAINST,ABSTAINED,AGAINST,Partito Democratico,PD,renata.briano@europarl.europa.eu,renatabriano,Q17175270,http://www.europarl.europa.eu/meps/en/124787/_home.html,,,,,,,
Sergio Gaetano,Cofferati,female,30/01/1948,71,Italy,Nord-Occidentale,S&D,AGAINST,FOR,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,AGAINST,Sinistra Italiana,SI,sergio.cofferati@europarl.europa.eu,Cofferati,Q550363,http://www.europarl.europa.eu/meps/en/96915/_home.html,,,,,,,
Elly,Schlein,male,04/05/1985,33,Italy,Nord-Orientale,S&D,AGAINST,FOR,-,ABSTAINED,FOR,ABSTAINED,ABSTAINED,AGAINST,Independent,Independent,elly.schlein@europarl.europa.eu,ellyesse,Q16975892,http://www.europarl.europa.eu/meps/en/124804/_home.html,,,,,,,
Daniele,Viotti,female,29/06/1985,33,Italy,Nord-Occidentale,S&D,AGAINST,FOR,YES,AGAINST,ABSTAINED,AGAINST,AGAINST,AGAINST,Partito Democratico,PD,daniele.viotti@europarl.europa.eu,danieleviotti,Q17266679,http://www.europarl.europa.eu/meps/en/124791/_home.html,,,,,,,
Andrejs,Mamikins,male,11/03/1976,43,Latvia,-,S&D,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Saskaņa - Sociāldemokrātiskā partija,SPDS,andrejs.mamikins@europarl.europa.eu,andrejsmamikins,Q15846338,http://www.europarl.europa.eu/meps/en/124746/_home.html,,,,,,,
Mady,Delvaux,male,11/10/1950,68,Luxembourg,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Parti ouvrier socialiste luxembourgeois,LSAP/POSL,mady.delvaux-stehres@europarl.europa.eu,mady_delvaux,Q436989,http://www.europarl.europa.eu/meps/en/124776/_home.html,,,,,,,
Agnes,Jongerius,male,04/11/1960,58,Netherlands,-,S&D,AGAINST,FOR,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,AGAINST,Partij van de Arbeid,PvdA ,agnes.jongerius@europarl.europa.eu,a_jongerius,Q2745560,http://www.europarl.europa.eu/meps/en/125021/_home.html,,,,,,,
Kati,Piri,female,08/04/1979,39,Netherlands,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Partij van de Arbeid,PvdA ,kati.piri@europarl.europa.eu,KatiPiri,Q17143453,http://www.europarl.europa.eu/meps/en/37229/_home.html,,,,,,,
Paul,Tang,male,23/04/1967,51,Netherlands,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,NOT PRESENT,Partij van de Arbeid,PvdA ,paul.tang@europarl.europa.eu,paultang,Q14053382,http://www.europarl.europa.eu/meps/en/125020/_home.html,,,,,,,
Lidia Joanna,Geringer de Oedenberg,female,12/09/1957,61,Poland,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Independent,Independent,lidiajoanna.geringerdeoedenberg@europarl.europa.eu,lidiageringer,Q455375,http://www.europarl.europa.eu/meps/en/28377/_home.html,,,,,,,
Adam,Gierek,female,17/04/1938,80,Poland,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Unia Pracy,UP,adam.gierek@europarl.europa.eu,adamgierek,Q349492,http://www.europarl.europa.eu/meps/en/28379/_home.html,,,,,,,
Ana,Gomes,male,09/02/1954,65,Portugal,-,S&D,AGAINST,FOR,-,AGAINST,AGAINST,AGAINST,FOR,AGAINST,Partido Socialista,PS,anamaria.gomes@europarl.europa.eu,AnaMartinsGomes,Q2844986,http://www.europarl.europa.eu/meps/en/28306/_home.html,,,,,,,
Claudiu Ciprian,Tănăsescu,male,19/07/1965,53,Romania,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,FOR,FOR,Partidul Social Democrat,PSD,claudiuciprian.tanasescu@europarl.europa.eu,,Q558350,http://www.europarl.europa.eu/meps/en/96847/_home.html,,,,,,,
Claudia,Țapardel,female,16/12/1983,35,Romania,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,FOR,FOR,Partidul Social Democrat,PSD,ana-claudia.tapardel@europarl.europa.eu,ClaudiaTapardel,Q17149761,http://www.europarl.europa.eu/meps/en/124793/_home.html,,,,,,,
Monika,Beňová,male,15/08/1968,50,Slovakia,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,SMER-Sociálna demokracia,SMER-SD,monika.benova@europarl.europa.eu,monikaflabenova,Q441032,http://www.europarl.europa.eu/meps/en/23868/_home.html,,,,,,,
Tanja,Fajon,female,09/05/1971,47,Slovenia,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Socialni demokrati,SD,tanja.fajon@europarl.europa.eu,tfajon,Q462744,http://www.europarl.europa.eu/meps/en/96911/_home.html,,,,,,,
Aleksander,Gabelic,female,17/09/1965,53,Sweden,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,FOR,AGAINST,Arbetarepartiet- Socialdemokraterna,SAP,aleksander.gabelic@ep.europa.eu,Agabelic,Q5863217,http://www.europarl.europa.eu/meps/en/192465/_home.html,,,,,,,
Anna,Hedh,male,18/03/1967,52,Sweden,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,FOR,NOT PRESENT,Arbetarepartiet- Socialdemokraterna,SAP,anna.hedh@europarl.europa.eu,AnnaHedh,Q441608,http://www.europarl.europa.eu/meps/en/28131/_home.html,,,,,,,
Alex,Mayer,male,02/06/1981,37,United Kingdom,Eastern Region,S&D,AGAINST,FOR,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Labour Party,LAB,alex.mayer@europarl.europa.eu,alexlmayer,Q27680041,http://www.europarl.europa.eu/meps/en/185637/_home.html,,,,,,,
Angelika,Mlinar,Female,29/06/1970,48,Austria,-,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,AGAINST,NOT PRESENT,NEOS – Das Neue Österreich,NEOS,angelika.mlinar@europarl.europa.eu,angelikamlinar,Q524225,http://www.europarl.europa.eu/meps/en/125026/_home.html,,,,,,204.0,twitters against
Ilhan,Kyuchyuk,female,16/09/1985,33,Bulgaria,-,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,FOR,AGAINST,Movement for Rights and Freedoms,ДПС,ilhan.kyuchyuk@europarl.europa.eu,ilhankyuchyuk,Q17266806,http://www.europarl.europa.eu/meps/en/124866/_home.html,,,,,,,
Jozo,Radoš,female,03/11/1956,62,Croatia,-,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Građansko Liberalni Savez,GLAS,jozo.rados@europarl.europa.eu,jozorados,Q3441723,http://www.europarl.europa.eu/meps/en/112753/_home.html,,,,,,,
Petr,Ježek,male,28/03/1965,53,Czech Republic,-,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,ABSTAINED,AGAINST,ANO 2011,ANO,petr.jezek@europarl.europa.eu,JezekCZ,Q15817642,http://www.europarl.europa.eu/meps/en/124707/_home.html,,,,,,,
Pavel,Telička,female,24/08/1965,53,Czech Republic,-,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,ABSTAINED,AGAINST,ANO 2011,ANO,pavel.telicka@europarl.europa.eu,Telicka,Q1357170,http://www.europarl.europa.eu/meps/en/124706/_home.html,,,,,,,
Igor,Gräzin,male,27/06/1952,66,Estonia,-,ALDE,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,NOT PRESENT,Eesti Reformierakond,Reformierakond,igor.grazin@europarl.europa.eu,,Q5993313,http://www.europarl.europa.eu/meps/en/193879/_home.html,,,,,,,
Yana,Toom,female,15/10/1966,52,Estonia,-,ALDE,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Eesti Keskerakond,Keskerakond,yana.toom@europarl.europa.eu,yanatoom,Q12379326,http://www.europarl.europa.eu/meps/en/124700/_home.html,,,,,,,
Nils,Torvalds,female,07/08/1945,73,Finland,-,ALDE,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Svenska folkpartiet,SFP,nils.torvalds@europarl.europa.eu,nilstorvalds,Q949046,http://www.europarl.europa.eu/meps/en/114268/_home.html,,,,,,,
Nadja,Hirsch,male,13/07/1978,40,Germany,-,ALDE,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Freie Demokratische Partei,FDP,nadja.hirsch@ep.europa.eu,nadjahirsch,Q120859,http://www.europarl.europa.eu/meps/en/96872/_home.html,,,,,,,
Gesine,Meissner,male,22/02/1952,67,Germany,-,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Freie Demokratische Partei,FDP,gesine.meissner@europarl.europa.eu,gesine_meissner,Q90784,http://www.europarl.europa.eu/meps/en/96870/_home.html,,,,,,,
Ulrike,Müller,male,07/12/1962,56,Germany,-,ALDE,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Freie Wähler,FW,ulrike.mueller@europarl.europa.eu,ulimuellermdep,Q2477402,http://www.europarl.europa.eu/meps/en/124862/_home.html,,,,,,,
Charles,Goerens,male,06/02/1952,67,Luxembourg,-,ALDE,AGAINST,FOR,-,AGAINST,AGAINST,AGAINST,FOR,FOR,Parti démocratique,DP,charles.goerens@europarl.europa.eu,charlesGoerens,Q286466,http://www.europarl.europa.eu/meps/en/840/_home.html,,,,,,,
Gerben-Jan,Gerbrandy,male,28/06/1967,51,Netherlands,-,ALDE,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,NOT PRESENT,Democraten 66,D66,gerben-jan.gerbrandy@europarl.europa.eu,Gerbrandy,Q455179,http://www.europarl.europa.eu/meps/en/96940/_home.html,,,,,,,
Jan,Huitema,male,05/07/1984,34,Netherlands,-,ALDE,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Volkspartij voor Vrijheid en Democratie,VVD,jan.huitema@europarl.europa.eu,jhuitema,Q17297655,http://www.europarl.europa.eu/meps/en/58789/_home.html,,,,,,,
Sophie,in 't Veld,male,13/09/1963,55,Netherlands,-,ALDE,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Democraten 66,D66,sophie.intveld@europarl.europa.eu,SophieintVeld,Q446991,http://www.europarl.europa.eu/meps/en/28266/_home.html,,,,,,,
Caroline,Nagtegaal,female,01/06/1980,38,Netherlands,-,ALDE,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Volkspartij voor Vrijheid en Democratie,VVD,caroline.nagtegaal@ep.europa.eu,C_Nagtegaal,Q21547522,http://www.europarl.europa.eu/meps/en/190519/_home.html,,,,,,,
Marietje,Schaake,male,28/10/1978,40,Netherlands,-,ALDE,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Democraten 66,D66,marietje.schaake@europarl.europa.eu,MarietjeSchaake,Q433561,http://www.europarl.europa.eu/meps/en/96945/_home.html,,,,,,,
Matthijs,van Miltenburg,male,02/04/1972,46,Netherlands,-,ALDE,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Democraten 66,D66,matthijs.vanmiltenburg@europarl.europa.eu,matthijsvmilt,Q17152490,http://www.europarl.europa.eu/meps/en/125022/_home.html,,,,,,,
Renate,Weber,male,03/08/1955,63,Romania,-,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Independent,Independent,renate.weber@europarl.europa.eu,renateweber,Q440689,http://www.europarl.europa.eu/meps/en/39713/_home.html,,,,,,,
Beatriz,Becerra Basterrechea,female,14/11/1966,52,Spain,-,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Independiente,Independiente,beatriz.becerra@europarl.europa.eu,beatrizbecerrab,Q17174668,http://www.europarl.europa.eu/meps/en/125040/_home.html,,,,,,,
Fredrick,Federley,female,06/05/1978,40,Sweden,-,ALDE,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Centerpartiet,C,fredrick.federley@europarl.europa.eu,federley,Q513301,http://www.europarl.europa.eu/meps/en/124989/_home.html,,,,,,,
Jasenko,Selimovic,male,01/01/1968,51,Sweden,-,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Liberalerna,L,jasenko.selimovic@europarl.europa.eu,jasenkos,Q6172305,http://www.europarl.europa.eu/meps/en/134243/_home.html,,,,,,,
Cecilia,Wikström,male,17/10/1965,53,Sweden,-,ALDE,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Liberalerna,L,cecilia.wikstrom@europarl.europa.eu,CeciliaWikstrom,Q460539,http://www.europarl.europa.eu/meps/en/96677/_home.html,,,,,,,
Catherine,Bearder,male,14/01/1949,70,United Kingdom,South East,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,ABSTAINED,AGAINST,Liberal Democrats,LD,catherine.bearder@europarl.europa.eu,catherinemep,Q441282,http://www.europarl.europa.eu/meps/en/96955/_home.html,,,,,,,
Joëlle,Bergeron,female,28/06/1949,69,France,Ouest,EFDD,FOR,AGAINST,-,AGAINST,AGAINST,ABSTAINED,FOR,FOR,Sans étiquette,Sans étiquette,joelle.bergeron@europarl.europa.eu,jbergeronmep,Q17174767,http://www.europarl.europa.eu/meps/en/124740/_home.html,,,,,,,
Aymeric,Chauprade,male,13/01/1969,50,France,Ile-de-France,EFDD,FOR,FOR,-,AGAINST,AGAINST,AGAINST,FOR,FOR,Les Français Libres,Les Français Libres,aymeric.chauprade@europarl.europa.eu,a_chauprade,Q793139,http://www.europarl.europa.eu/meps/en/124752/_home.html,,,,,,,
Mireille,D'Ornano,male,29/06/1951,67,France,Sud-Est,EFDD,FOR,AGAINST,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Rassemblement national,RN,mireille.dornano@europarl.europa.eu,mireilledornano,Q17171641,http://www.europarl.europa.eu/meps/en/124750/_home.html,,,,,,,
Sylvie,Goddyn,female,24/06/1964,54,France,Nord-Ouest,EFDD,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,sylvie.goddyn@europarl.europa.eu,Sylvie_Goddyn,Q16948142,http://www.europarl.europa.eu/meps/en/21331/_home.html,,,,,,,
Bernard,Monot,male,03/07/1962,56,France,Massif Central-Centre,EFDD,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,bernard.monot@europarl.europa.eu,bernard_monot,Q16980202,http://www.europarl.europa.eu/meps/en/124761/_home.html,,,,,,,
Rolandas,Paksas,male,10/06/1956,62,Lithuania,-,EFDD,FOR,AGAINST,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,Partija Tvarka ir teisingumas,PTT,rolandas.paksas@europarl.europa.eu,,Q296956,http://www.europarl.europa.eu/meps/en/96694/_home.html,,,,,,,
Bart,Staes,male,07/08/1958,60,Belgium,Nederlands Kiescollege,Greens-EFA,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Groen,Groen,bart.staes@europarl.europa.eu,BartStaes,Q809212,http://www.europarl.europa.eu/meps/en/4751/_home.html,,,,,,,
José,Bové,female,11/06/1953,65,France,Sud-Ouest,Greens-EFA,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Europe écologie,EELV,jose.bove@europarl.europa.eu,josebove,Q5819,http://www.europarl.europa.eu/meps/en/96744/_home.html,,,,,,,
Maria,Heubuch,female,12/12/1958,60,Germany,-,Greens-EFA,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Bündnis 90/Die Grünen,B'90/Grüne,maria.heubuch@europarl.europa.eu,MariaHeubuch,Q17117404,http://www.europarl.europa.eu/meps/en/124848/_home.html,,,,,,,
Helga,Trüpel,male,21/07/1958,60,Germany,-,Greens-EFA,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Bündnis 90/Die Grünen,B'90/Grüne,helga.truepel@europarl.europa.eu,HelgaTruepel,Q68016,http://www.europarl.europa.eu/meps/en/28240/_home.html,,,,,,,
Gerolf,Annemans,male,08/11/1958,60,Belgium,Nederlands Kiescollege,ENF,AGAINST,FOR - CORRECTED,YES,FOR,ABSTAINED,AGAINST,AGAINST,AGAINST,Vlaams Belang,Vlaams Belang,gerolf.annemans@europarl.europa.eu,gannemans,Q2294644,http://www.europarl.europa.eu/meps/en/124973/_home.html,,,,,,,
Marcus,Pretzell,male,16/07/1973,45,Germany,-,ENF,AGAINST,FOR,-,FOR,ABSTAINED,AGAINST,AGAINST,AGAINST,Alternative for Deutschland,Die Blauen,marcus.pretzell@europarl.europa.eu,MarcusPretzell,Q17117405,http://www.europarl.europa.eu/meps/en/124830/_home.html,,,,,,,
Mara,Bizzotto,female,03/06/1972,46,Italy,Nord-Orientale,ENF,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Lega Nord,LN,mara.bizzotto@europarl.europa.eu,,Q583545,http://www.europarl.europa.eu/meps/en/97198/_home.html,,,,,,,
Mario,Borghezio,female,03/12/1947,71,Italy,Centrale,ENF,AGAINST,FOR,-,FOR,FOR,NOT PRESENT,NOT PRESENT,AGAINST,Lega Nord,LN,mario.borghezio@europarl.europa.eu,,Q1346627,http://www.europarl.europa.eu/meps/en/21817/_home.html,,,,,,,
Angelo,Ciocca,female,28/06/1975,43,Italy,Nord-Occidentale,ENF,AGAINST,FOR,-,FOR,FOR,NOT PRESENT,NOT PRESENT,AGAINST,Lega Nord,LN,angelo.ciocca@europarl.europa.eu,,Q24951518,http://www.europarl.europa.eu/meps/en/183793/_home.html,,,,,,,
Giancarlo,Scottà,male,11/04/1953,65,Italy,Nord-Orientale,ENF,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Lega Nord,LN,giancarlo.scotta@ep.europa.eu,,Q5558074,http://www.europarl.europa.eu/meps/en/96996/_home.html,,,,,,,
Marco,Zanni,female,11/07/1986,32,Italy,Nord-Occidentale,ENF,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,NOT PRESENT,Independent,Independent,marco.zanni@europarl.europa.eu,Marcozanni86,Q17266678,http://www.europarl.europa.eu/meps/en/124780/_home.html,,,,,,,
André,Elissen,male,12/02/1960,59,Netherlands,-,ENF,AGAINST,ABSTAINED,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Partij voor de Vrijheid,PVV,andre.elissen@europarl.europa.eu,AndreElissen,Q2042395,http://www.europarl.europa.eu/meps/en/188445/_home.html,,,,,,,
Olaf,Stuger,male,03/05/1969,49,Netherlands,-,ENF,AGAINST,ABSTAINED,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Partij voor de Vrijheid,PVV,olaf.stuger@europarl.europa.eu,OlafStuger,Q329694,http://www.europarl.europa.eu/meps/en/125028/_home.html,,,,,,,
Auke,Zijlstra,female,01/11/1964,54,Netherlands,-,ENF,AGAINST,ABSTAINED,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Partij voor de Vrijheid,PVV,auke.zijlstra@europarl.europa.eu,,Q771169,http://www.europarl.europa.eu/meps/en/103246/_home.html,,,,,,,
Michał,Marusik,male,26/09/1951,67,Poland,-,ENF,AGAINST,FOR,-,FOR,ABSTAINED,AGAINST,AGAINST,AGAINST,Kongres Nowej Prawicy,KNP,michal.marusik@europarl.europa.eu,,Q17166422,http://www.europarl.europa.eu/meps/en/124894/_home.html,,,,,,,
Stanisław,Żółtek,male,07/05/1956,62,Poland,-,ENF,AGAINST,FOR,YES,FOR,ABSTAINED,AGAINST,AGAINST,AGAINST,Kongres Nowej Prawicy,KNP,stanislawjozef.zoltek@europarl.europa.eu,,Q9343571,http://www.europarl.europa.eu/meps/en/124902/_home.html,,,,,,,
John Stuart,Agnew,male,30/08/1949,69,United Kingdom,Eastern Region,ENF,AGAINST,FOR,-,FOR,FOR,FOR,AGAINST,AGAINST,United Kingdom Independence Party,UKIP,johnstuart.agnew@europarl.europa.eu,,Q1338217,http://www.europarl.europa.eu/meps/en/96897/_home.html,,,,,,,
