First Name,Last Name,Country,Jurisdiction,Political Group,"26 March 2019
Final Vote","26 March 2019
Procedural Vote","Pledge
2019","Sept 18 Vote
DELETE","Sept 18 Vote
IMCO","Sept 18 Vote
VOSS","Sept 18 Vote
REPORT","June 18 Vote
Negotiations",National Political Group,National Political Group (Short),Email,Twitter,EP Webpage,
Jørn,Dohrmann,Denmark,-,ECR,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Dansk Folkeparti,DF,jorn.dohrmann@europarl.europa.eu,mepdohrmann,http://www.europarl.europa.eu/meps/en/124878/_home.html,
Rina Ronja,Kari,Denmark,-,GUE/NGL,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Folkebevægelsen mod EU,Folkebevægelsen mod EU,rinaronja.kari@europarl.europa.eu,rinakari,http://www.europarl.europa.eu/meps/en/122885/_home.html,
Rikke-Louise,Karlsson,Denmark,-,Non-attached,FOR,FOR,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,Independent,Independent,rikke.karlsson@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124876/_home.html,
Jeppe,Kofod,Denmark,-,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Socialdemokratiet,Socialdemokratiet ,jeppe.kofod@europarl.europa.eu,JeppeKofod,http://www.europarl.europa.eu/meps/en/124870/_home.html,
Morten,Løkkegaard,Denmark,-,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,"Venstre, Danmarks Liberale Parti",Venstre,morten.lokkegaard@europarl.europa.eu,loekkegaard_mep,http://www.europarl.europa.eu/meps/en/96709/_home.html,
Morten,Messerschmidt,Denmark,-,ECR,FOR,ABSTAINED,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Dansk Folkeparti,DF,morten.messerschmidt@europarl.europa.eu,mrmesserschmidt,http://www.europarl.europa.eu/meps/en/96663/_home.html,
Morten Helveg,Petersen,Denmark,-,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,AGAINST,FOR,FOR,Det Radikale Venstre,Radikale B,mortenhelveg.petersen@europarl.europa.eu,mortenhelveg,http://www.europarl.europa.eu/meps/en/124872/_home.html,
Jens,Rohde,Denmark,-,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,AGAINST,FOR,FOR,Det Radikale Venstre,Radikale B,jens.rohde@europarl.europa.eu,rohde_jens,http://www.europarl.europa.eu/meps/en/96710/_home.html,
Christel,Schaldemose,Denmark,-,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Socialdemokratiet,Socialdemokratiet ,christel.schaldemose@europarl.europa.eu,SchaldemoseMEP,http://www.europarl.europa.eu/meps/en/37312/_home.html,
Anders Primdahl,Vistisen,Denmark,-,ECR,FOR,FOR,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Dansk Folkeparti,DF,anders.vistisen@europarl.europa.eu,andersvistisen,http://www.europarl.europa.eu/meps/en/124875/_home.html,
Igor,Gräzin,Estonia,-,ALDE,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,NOT PRESENT,Eesti Reformierakond,Reformierakond,igor.grazin@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/193879/_home.html,
Tunne,Kelam,Estonia,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Erakond Isamaa ja Res Publica Liit,Isamaa ,tunne.kelam@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/28424/_home.html,
Ivari,Padar,Estonia,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,FOR,AGAINST,Sotsiaaldemokraatlik Erakond,SDE,ivari.padar@ep.europa.eu,,http://www.europarl.europa.eu/meps/en/97025/_home.html,
Urmas,Paet,Estonia,-,ALDE,ABSTAINED,ABSTAINED,-,AGAINST,FOR,AGAINST,FOR,AGAINST,Eesti Reformierakond,Reformierakond,urmas.paet@europarl.europa.eu,urmaspaet,http://www.europarl.europa.eu/meps/en/129073/_home.html,
Indrek,Tarand,Estonia,-,Greens/EFA,AGAINST,FOR,-,AGAINST,FOR,FOR,FOR,AGAINST,Sõltumatu,Sõltumatu,indrek.tarand@europarl.europa.eu,indrektarand,http://www.europarl.europa.eu/meps/en/97136/_home.html,
Yana,Toom,Estonia,-,ALDE,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Eesti Keskerakond,Keskerakond,yana.toom@europarl.europa.eu,yanatoom,http://www.europarl.europa.eu/meps/en/124700/_home.html,
Jussi,Halla-Aho,Finland,-,ECR,AGAINST,FOR,-,FOR,AGAINST,FOR,AGAINST,AGAINST,Perussuomalaiset,PS,jussi.halla-aho@europarl.europa.eu,halla_aho,http://www.europarl.europa.eu/meps/en/124727/_home.html,
Heidi,Hautala,Finland,-,Greens/EFA,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Vihreä liitto,VIHR ,heidi.hautala@europarl.europa.eu,HeidiHautala,http://www.europarl.europa.eu/meps/en/2054/_home.html,
Liisa,Jaakonsaari,Finland,-,S&D,FOR,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,SDP,liisa.jaakonsaari@europarl.europa.eu,lJaakonsaari,http://www.europarl.europa.eu/meps/en/96684/_home.html,
Anneli,Jäätteenmäki,Finland,-,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Suomen Keskusta,Keskusta,anneli.jaatteenmaki@europarl.europa.eu,jaatteenmaki,http://www.europarl.europa.eu/meps/en/28314/_home.html,
Elsi,Katainen,Finland,-,ALDE,FOR,ABSTAINED,-,AGAINST,AGAINST,FOR,FOR,FOR,Suomen Keskusta,Keskusta,elsi.katainen@ep.europa.eu,ElsiKatainen,http://www.europarl.europa.eu/meps/en/191693/_home.html,
Miapetra,Kumpula-Natri,Finland,-,S&D,FOR,FOR,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,SDP,miapetra.kumpula-natri@europarl.europa.eu,miapetrakumpula,http://www.europarl.europa.eu/meps/en/124735/_home.html,
Merja,Kyllönen,Finland,-,GUE/NGL,FOR,FOR,-,FOR,FOR,AGAINST,FOR,AGAINST,Vasemmistoliitto,Vasemmistoliitto,merja.kyllonen@europarl.europa.eu,KyllonenMerja,http://www.europarl.europa.eu/meps/en/124736/_home.html,
Sirpa,Pietikäinen,Finland,-,EPP,FOR - CORRECTED,FOR,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,AGAINST,Kansallinen Kokoomus,KOK,sirpa.pietikainen@europarl.europa.eu,spietikainen,http://www.europarl.europa.eu/meps/en/40599/_home.html,
Pirkko,Ruohonen-Lerner,Finland,-,ECR,AGAINST,FOR,-,FOR,FOR,FOR,AGAINST,AGAINST,Perussuomalaiset,PS,pirkko.ruohonen-lerner@europarl.europa.eu,pirkkorl,http://www.europarl.europa.eu/meps/en/132366/_home.html,
Petri,Sarvamaa,Finland,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Kansallinen Kokoomus,KOK,petri.sarvamaa@europarl.europa.eu,petrisarvamaa,http://www.europarl.europa.eu/meps/en/112611/_home.html,
Nils,Torvalds,Finland,-,ALDE,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Svenska folkpartiet,SFP,nils.torvalds@europarl.europa.eu,nilstorvalds,http://www.europarl.europa.eu/meps/en/114268/_home.html,
Mirja,Vehkaperä,Finland,-,ALDE,FOR,ABSTAINED,-,AGAINST,AGAINST,FOR,FOR,FOR,Suomen Keskusta,Keskusta,mirja.vehkapera@ep.europa.eu,MirjaVehkapera,http://www.europarl.europa.eu/meps/en/193269/_home.html,
Henna,Virkkunen,Finland,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Kansallinen Kokoomus,KOK,henna.virkkunen@europarl.europa.eu,HennaVirkkunen,http://www.europarl.europa.eu/meps/en/124726/_home.html,
Michèle,Alliot-Marie,France,Sud-Ouest,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,michele.alliot-marie@europarl.europa.eu,malliotmarie,http://www.europarl.europa.eu/meps/en/1179/_home.html,
Eric,Andrieu,France,Sud-Ouest,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti socialiste,PS,eric.andrieu@europarl.europa.eu,Eric_Andrieu,http://www.europarl.europa.eu/meps/en/113892/_home.html,
Marie-Christine,Arnautu,France,Sud-Est,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,marie-christine.arnautu@europarl.europa.eu,MCArnautu,http://www.europarl.europa.eu/meps/en/124748/_home.html,
Jean,Arthuis,France,Ouest,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,ABSTAINED,FOR,FOR,Union des Démocrates et Indépendants,UDI,jean.arthuis@europarl.europa.eu,JeanArthuis,http://www.europarl.europa.eu/meps/en/124773/_home.html,
Guillaume,Balas,France,Ile-de-France,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti socialiste,PS,guillaume.balas@europarl.europa.eu,BalasGuillaume,http://www.europarl.europa.eu/meps/en/124744/_home.html,
Nicolas,Bay,France,Nord-Ouest,ENF,FOR,AGAINST,-,NOT PRESENT,AGAINST,FOR,FOR,AGAINST,Rassemblement national,RN,nicolas.bay@europarl.europa.eu,nicolasbay_,http://www.europarl.europa.eu/meps/en/124760/_home.html,
Pervenche,Berès,France,Ile-de-France,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti socialiste,PS,pervenche.beres@europarl.europa.eu,PervencheBeres,http://www.europarl.europa.eu/meps/en/1985/_home.html,
Joëlle,Bergeron,France,Ouest,EFDD,FOR,AGAINST,-,AGAINST,AGAINST,ABSTAINED,FOR,FOR,Sans étiquette,Sans étiquette,joelle.bergeron@europarl.europa.eu,jbergeronmep,http://www.europarl.europa.eu/meps/en/124740/_home.html,
Dominique,Bilde,France,Est,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,dominique.bilde@europarl.europa.eu,dominiquebilde,http://www.europarl.europa.eu/meps/en/124771/_home.html,
Marie-Christine,Boutonnet,France,Ile-de-France,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,marie-christine.boutonnet@europarl.europa.eu,mcboutonnetfn,http://www.europarl.europa.eu/meps/en/124753/_home.html,
José,Bové,France,Sud-Ouest,Greens/EFA,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Europe écologie,EELV,jose.bove@europarl.europa.eu,josebove,http://www.europarl.europa.eu/meps/en/96744/_home.html,
Steeve,Briois,France,Nord-Ouest,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,steeve.briois@europarl.europa.eu,steevebriois,http://www.europarl.europa.eu/meps/en/124757/_home.html,
Alain,Cadec,France,Ouest,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,alain.cadec@europarl.europa.eu,AlainCadec,http://www.europarl.europa.eu/meps/en/96849/_home.html,
Jean-Marie,Cavada,France,Ile-de-France,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,ABSTAINED,FOR,FOR,Generation Citoyens,GC,jean-marie.cavada@europarl.europa.eu,JeanMarieCAVADA,http://www.europarl.europa.eu/meps/en/28206/_home.html,
Aymeric,Chauprade,France,Ile-de-France,EFDD,FOR,FOR,-,AGAINST,AGAINST,AGAINST,FOR,FOR,Les Français Libres,Les Français Libres,aymeric.chauprade@europarl.europa.eu,a_chauprade,http://www.europarl.europa.eu/meps/en/124752/_home.html,
Jacques,Colombier,France,Sud-Ouest,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,jacques.colombier@ep.europa.eu,JColombierFN,http://www.europarl.europa.eu/meps/en/191510/_home.html,
Thierry,Cornillet,France,Sud-Est,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,ABSTAINED,FOR,FOR,Parti Radical,Rad,thierry.cornillet@europarl.europa.eu,tcornillet,http://www.europarl.europa.eu/meps/en/4338/_home.html,
Arnaud,Danjean,France,Est,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,arnaud.danjean@europarl.europa.eu,ArnaudDanjean,http://www.europarl.europa.eu/meps/en/96747/_home.html,
Michel,Dantin,France,Sud-Est,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,dantin.michel@sp-eurodepute.eu,MichelDANTIN,http://www.europarl.europa.eu/meps/en/97296/_home.html,
Rachida,Dati,France,Ile-de-France,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,rachida.dati@europarl.europa.eu,datirachida,http://www.europarl.europa.eu/meps/en/72775/_home.html,
Angélique,Delahaye,France,Massif Central-Centre,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,angelique.delahaye@europarl.europa.eu,Delahaye_Europe,http://www.europarl.europa.eu/meps/en/124732/_home.html,
Karima,Delli,France,Nord-Ouest,Greens/EFA,ABSTAINED,FOR - CORRECTED,-,FOR,FOR,AGAINST,ABSTAINED,FOR,Europe écologie,EELV,karima.delli@europarl.europa.eu,KarimaDelli,http://www.europarl.europa.eu/meps/en/96868/_home.html,
Geoffroy,Didier,France,Île-de-France,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,geoffroy.didier@ep.europa.eu,GeoffroyDidier,http://www.europarl.europa.eu/meps/en/190774/_home.html,
Mireille,D'Ornano,France,Sud-Est,EFDD,FOR,AGAINST,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Rassemblement national,RN,mireille.dornano@europarl.europa.eu,mireilledornano,http://www.europarl.europa.eu/meps/en/124750/_home.html,
Pascal,Durand,France,Ile-de-France,Greens/EFA,NOT PRESENT,NOT PRESENT,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Europe écologie,EELV,pascal.durand@europarl.europa.eu,PDurandOfficiel,http://www.europarl.europa.eu/meps/en/124693/_home.html,
Karine,Gloanec Maurin,France,Massif Central-Centre,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti socialiste,PS,karine.gloanec-maurin@ep.europa.eu,KGloanecMaurin,http://www.europarl.europa.eu/meps/en/193080/_home.html,
Sylvie,Goddyn,France,Nord-Ouest,EFDD,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,sylvie.goddyn@europarl.europa.eu,Sylvie_Goddyn,http://www.europarl.europa.eu/meps/en/21331/_home.html,
Bruno,Gollnisch,France,Sud-Est,Non-attached,FOR,FOR,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,bruno.gollnisch@europarl.europa.eu,brunogollnisch,http://www.europarl.europa.eu/meps/en/1164/_home.html,
Nathalie,Griesbeck,France,Est,ALDE,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,ABSTAINED,FOR,FOR,Mouvement Démocrate,MoDem,nathalie.griesbeck@europarl.europa.eu,Nat_GRIESBECK,http://www.europarl.europa.eu/meps/en/28208/_home.html,
Françoise,Grossetête,France,Sud-Est,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,francoise.grossetete@europarl.europa.eu,GrosseteteF,http://www.europarl.europa.eu/meps/en/2025/_home.html,
Sylvie,Guillaume,France,Sud-Est,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti socialiste,PS,sylvie.guillaume@europarl.europa.eu,sylvieguillaume,http://www.europarl.europa.eu/meps/en/96952/_home.html,
Brice,Hortefeux,France,Massif Central-Centre,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,brice.hortefeux@europarl.europa.eu,BriceHortefeux,http://www.europarl.europa.eu/meps/en/5565/_home.html,
Yannick,Jadot,France,Ouest,Greens/EFA,ABSTAINED,ABSTAINED,-,FOR,FOR,AGAINST,ABSTAINED,AGAINST,Europe écologie,EELV,yannick.jadot@europarl.europa.eu,yjadot,http://www.europarl.europa.eu/meps/en/96740/_home.html,
Jean-François,Jalkh,France,Est,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,jean-francois.jalkh@europarl.europa.eu,jfjalkh,http://www.europarl.europa.eu/meps/en/124770/_home.html,
France,Jamet,France,Sud-Ouest,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Rassemblement national,RN,france.jamet@europarl.europa.eu,francejamet,http://www.europarl.europa.eu/meps/en/189065/_home.html,
Eva,Joly,France,Ile-de-France,Greens/EFA,ABSTAINED,FOR - CORRECTED,YES,FOR,FOR,AGAINST,ABSTAINED,AGAINST,Europe écologie,EELV,eva.joly@europarl.europa.eu,EvaJoly,http://www.europarl.europa.eu/meps/en/96883/_home.html,
Marc,Joulaud,France,Ouest,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,marc.joulaud@europarl.europa.eu,marcjoulaud,http://www.europarl.europa.eu/meps/en/124728/_home.html,
Philippe,Juvin,France,Ile-de-France,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,philippe.juvin@europarl.europa.eu,philippejuvin,http://www.europarl.europa.eu/meps/en/96884/_home.html,
Patricia,Lalonde,France,Ile-de-France,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,NOT PRESENT,FOR,FOR,Union des Démocrates et Indépendants,UDI,patricia.lalonde@europarl.europa.eu,patricialalond2,http://www.europarl.europa.eu/meps/en/188254/_home.html,
Alain,Lamassoure,France,Ile-de-France,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,alain.lamassoure@europarl.europa.eu,ALamassoure,http://www.europarl.europa.eu/meps/en/1204/_home.html,
Jérôme,Lavrilleux,France,Nord-Ouest,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Sans étiquette,Sans étiquette,jerome.lavrilleux@europarl.europa.eu,jlavrilleux,http://www.europarl.europa.eu/meps/en/124731/_home.html,
Patrick,Le  Hyaric,France,Ile-de-France,GUE/NGL,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Front de Gauche,FDG,patrick.lehyaric@europarl.europa.eu,PatrickLeHyaric,http://www.europarl.europa.eu/meps/en/96735/_home.html,
Jean-Marie,Le  Pen,France,Sud-Est,Non-attached,NOT PRESENT,NOT PRESENT,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,Rassemblement national,RN,jean-marie.lepen@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/1023/_home.html,
Gilles,Lebreton,France,Ouest,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national/ Rassemblement Bleu Marine,RN,gilles.lebreton@europarl.europa.eu,Gilles_Lebreton,http://www.europarl.europa.eu/meps/en/124738/_home.html,
Christelle,Lechevalier,France,Nord-Ouest,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,christelle.lechevalier@europarl.europa.eu,C_Lechevalier14,http://www.europarl.europa.eu/meps/en/188718/_home.html,
Philippe,Loiseau,France,Massif Central-Centre,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,philippe.loiseau@europarl.europa.eu,ph_loiseau,http://www.europarl.europa.eu/meps/en/125684/_home.html,
Louis-Joseph,Manscour,France,Outre-Mer,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Parti socialiste,PS,louis-joseph.manscour@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124725/_home.html,
Dominique,Martin,France,Sud-Est,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,dominique.martin@europarl.europa.eu,dmartinfn,http://www.europarl.europa.eu/meps/en/124751/_home.html,
Edouard,Martin,France,Est,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti socialiste,PS,edouard.martin@europarl.europa.eu,edouardmartineu,http://www.europarl.europa.eu/meps/en/124947/_home.html,
Emmanuel,Maurel,France,Ouest,GUE/NGL,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti socialiste,PS,emmanuel.maurel@europarl.europa.eu,emmanuelmaurel,http://www.europarl.europa.eu/meps/en/24505/_home.html,
Joëlle,Mélin,France,Sud-Ouest,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,joelle.melin@europarl.europa.eu,JoelleMelinRN,http://www.europarl.europa.eu/meps/en/124765/_home.html,
Bernard,Monot,France,Massif Central-Centre,EFDD,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,bernard.monot@europarl.europa.eu,bernard_monot,http://www.europarl.europa.eu/meps/en/124761/_home.html,
Sophie,Montel,France,Est,Non-attached,FOR,AGAINST,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Rassemblement national,RN,sophie.montel@europarl.europa.eu,Sophie_Montel,http://www.europarl.europa.eu/meps/en/124769/_home.html,
Nadine,Morano,France,Est,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,nadine.morano@europarl.europa.eu,nadine__morano,http://www.europarl.europa.eu/meps/en/72779/_home.html,
Elisabeth,Morin-Chartier,France,Ouest,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,elisabeth.morinchartier@europarl.europa.eu,emorinchartier,http://www.europarl.europa.eu/meps/en/38596/_home.html,
Renaud,Muselier,France,Sud-Est,EPP,FOR,AGAINST,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,Les Républicains,LR,renaud.muselier@europarl.europa.eu,RenaudMuselier,http://www.europarl.europa.eu/meps/en/124729/_home.html,
Younous,Omarjee,France,Outre-Mer,GUE/NGL,AGAINST,FOR,-,FOR,FOR,AGAINST,ABSTAINED,FOR,L'union pour les Outremer,UOM,younous.omarjee@europarl.europa.eu,younousomarjee,http://www.europarl.europa.eu/meps/en/30482/_home.html,
Gilles,Pargneaux,France,Nord-Ouest,S&D,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti socialiste,PS,gilles.pargneaux@europarl.europa.eu,gillespargneaux,http://www.europarl.europa.eu/meps/en/96948/_home.html,
Vincent,Peillon,France,Sud-Est,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti socialiste,PS,vincent.peillon@europarl.europa.eu,Vincent_Peillon,http://www.europarl.europa.eu/meps/en/28166/_home.html,
Florian,Philippot,France,Est,EFDD,NOT PRESENT,NOT PRESENT,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Rassemblement national,RN,florian.philippot@europarl.europa.eu,f_philippot,http://www.europarl.europa.eu/meps/en/110977/_home.html,
Maurice,Ponga,France,Outre-Mer,EPP,NOT PRESENT,NOT PRESENT,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,Les Républicains,LR,maurice.ponga@europarl.europa.eu,mauriceponga,http://www.europarl.europa.eu/meps/en/96931/_home.html,
Franck,Proust,France,Sud-Ouest,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,franck.proust@europarl.europa.eu,franckproust,http://www.europarl.europa.eu/meps/en/108080/_home.html,
Christine,Revault D'Allonnes Bonnefoy,France,Ile-de-France,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti socialiste,PS,christine.revaultdallonnesBONNEFOY@europarl.europa.eu,cdallonnes,http://www.europarl.europa.eu/meps/en/124287/_home.html,
Dominique,Riquet,France,Nord-Ouest,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,ABSTAINED,FOR,FOR,Parti Radical - UDI,UDI,dominique.riquet@europarl.europa.eu,DominiqueRiquet,http://www.europarl.europa.eu/meps/en/96885/_home.html,
Michèle,Rivasi,France,Sud-Est,Greens/EFA,ABSTAINED,FOR - CORRECTED,-,FOR,FOR,AGAINST,ABSTAINED,FOR,Europe écologie,EELV,michele.rivasi@europarl.europa.eu,MicheleRivasi,http://www.europarl.europa.eu/meps/en/96743/_home.html,
Robert,Rochefort,France,Sud-Ouest,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Mouvement Démocrate,MoDem,robert.rochefort@europarl.europa.eu,robertrochefort,http://www.europarl.europa.eu/meps/en/97022/_home.html,
Virginie,Rozière,France,Sud-Ouest,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti radical de gauche,PRG,virginie.roziere@europarl.europa.eu,Vroziere,http://www.europarl.europa.eu/meps/en/103845/_home.html,
Tokia,Saïfi,France,Nord-Ouest,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,tokia.saifi@europarl.europa.eu,TokiaSaifi,http://www.europarl.europa.eu/meps/en/4345/_home.html,
Anne,Sander,France,Est,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,anne.sander@europarl.europa.eu,ASanderMEP,http://www.europarl.europa.eu/meps/en/24594/_home.html,
Jean-Luc,Schaffhauser,France,Ile-de-France,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement bleu Marine,RBM,jean-luc.schaffhauser@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124755/_home.html,
Isabelle,Thomas,France,Ouest,S&D,FOR,FOR,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti socialiste,PS,isabelle.thomas@europarl.europa.eu,Isabel_thomasEU,http://www.europarl.europa.eu/meps/en/114279/_home.html,
Mylène,Troszczynski,France,Nord-Ouest,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,mylene.troszczynski@europarl.europa.eu,troszczynski_fn,http://www.europarl.europa.eu/meps/en/124758/_home.html,
Marie-Christine,Vergiat,France,Sud-Est,GUE/NGL,AGAINST,FOR,-,FOR,FOR,AGAINST,ABSTAINED,AGAINST,Front de Gauche,FDG,marie-christine.vergiat@europarl.europa.eu,MCVergiat,http://www.europarl.europa.eu/meps/en/96858/_home.html,
Marie-Pierre,Vieu,France,Sud-Ouest,GUE/NGL,FOR,AGAINST,-,AGAINST,ABSTAINED,ABSTAINED,FOR,FOR,Front de Gauche,FDG,marie-pierre.vieu@europarl.europa.eu,mariepierrevieu,http://www.europarl.europa.eu/meps/en/188721/_home.html,
Reimer,Böge,Germany,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Christlich Demokratische Union Deutschlands,CDU,reimer.boege@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/1037/_home.html,
